fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-01-08,WN,WN,WN,1738,WN,N293WN,1738,10821,BWI,"Baltimore, MD",10529,BDL,"Hartford, CT",1115,1111,-4,9,1120,1210,3,1225,1213,-12,0,,0,N,70,62,50,1,283,,,,,,,,,
2019-01-08,WN,WN,WN,1512,WN,N494WN,1512,10821,BWI,"Baltimore, MD",10599,BHM,"Birmingham, AL",1420,1418,-2,11,1429,1513,3,1535,1516,-19,0,,0,N,135,118,104,1,682,,,,,,,,,
2019-01-08,WN,WN,WN,552,WN,N449WN,552,10821,BWI,"Baltimore, MD",10693,BNA,"Nashville, TN",1705,1655,-10,11,1706,1738,9,1810,1747,-23,0,,0,N,125,112,92,1,587,,,,,,,,,
2019-01-08,WN,WN,WN,647,WN,N955WN,647,10821,BWI,"Baltimore, MD",10693,BNA,"Nashville, TN",620,616,-4,8,624,700,4,720,704,-16,0,,0,N,120,108,96,1,587,,,,,,,,,
2019-01-08,WN,WN,WN,739,WN,N8618N,739,10821,BWI,"Baltimore, MD",10693,BNA,"Nashville, TN",1240,1235,-5,16,1251,1329,12,1340,1341,1,0,,0,N,120,126,98,1,587,,,,,,,,,
2019-01-08,WN,WN,WN,1309,WN,N273WN,1309,10821,BWI,"Baltimore, MD",10693,BNA,"Nashville, TN",1005,959,-6,10,1009,1043,4,1110,1047,-23,0,,0,N,125,108,94,1,587,,,,,,,,,
2019-01-08,WN,WN,WN,1922,WN,N440LV,1922,10821,BWI,"Baltimore, MD",10693,BNA,"Nashville, TN",2155,2151,-4,17,2208,2249,4,2300,2253,-7,0,,0,N,125,122,101,1,587,,,,,,,,,
2019-01-08,WN,WN,WN,2124,WN,N435WN,2124,10821,BWI,"Baltimore, MD",10693,BNA,"Nashville, TN",1900,1853,-7,16,1909,1943,7,2000,1950,-10,0,,0,N,120,117,94,1,587,,,,,,,,,
2019-01-08,WN,WN,WN,302,WN,N714CB,302,10821,BWI,"Baltimore, MD",10721,BOS,"Boston, MA",1355,1355,0,13,1408,1509,4,1530,1513,-17,0,,0,N,95,78,61,1,369,,,,,,,,,
2019-01-08,WN,WN,WN,646,WN,N454WN,646,10821,BWI,"Baltimore, MD",10721,BOS,"Boston, MA",725,722,-3,32,754,901,5,850,906,16,0,,0,N,85,104,67,1,369,0,0,16,0,0,,,,
